investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
Day Hagan Asset Management,Deere & Co,2543,9.00E-04,1522214.37
"Daymark Wealth Partners, LLC",Deere & Co,6119,0.0023,3662772.21
De Lisle Partners LLP,Deere & Co,12500,0.0046,7482375
"DeRoy & Devereaux Private Investment Counsel, Inc.",Deere & Co,430,2.00E-04,257393.7
Dearborn Partners L.L.C.,Deere & Co,4915,0.0018,2942069.85
Debeka Asset Management GmbH,Deere & Co,282,1.00E-04,168802.38
"DecisionPoint Financial, LLC",Deere & Co,23,0,13767.57
"Defiance ETFs, LLC",Deere & Co,857,3.00E-04,512991.63
"Defined Wealth Management, LLC",Deere & Co,1896,7.00E-04,1134926.64
Degroof Petercam Asset Management,Deere & Co,310,1.00E-04,185562.9
Degroof Petercam Asset Services SA,Deere & Co,38921,0.0144,23297721.39
Deka Investment GmbH,Deere & Co,110098,0.0408,65903561.82
Deka Vermögensmanagement GmbH,Deere & Co,65240,0.0242,39052011.6
"Delta Asset Management, LLC",Deere & Co,987,4.00E-04,590808.33
"Delta Capital Management, L.L.C.",Deere & Co,5790,0.0021,3465836.1
"Delta Financial Group, Inc",Deere & Co,711,3.00E-04,425597.49
Deseret Mutual Benefit Administrators,Deere & Co,632,2.00E-04,378308.88
Desjardins Financial Security Life Assurance Company,Deere & Co,567,2.00E-04,339400.53
Desjardins Global Asset Management,Deere & Co,20000,0.0074,11971800
Desjardins Securities Inc.,Deere & Co,61571,0.0228,36855784.89
Deutsche Asset Management Americas,Deere & Co,26532,0.0098,15881789.88
Deutsche Bank S.p.A.,Deere & Co,5032,0.0019,3012104.88
"Deutsche Wealth Management, S.G.I.I.C., S.A",Deere & Co,3542,0.0013,2120205.78
"DiNuzzo Private Wealth, Inc.",Deere & Co,59,0,35316.81
"Diamant Asset Management, Inc.",Deere & Co,1084,4.00E-04,648871.56
Diamond Hill Capital Management Inc.,Deere & Co,289981,0.1074,173579726.8
Dimensional Fund Advisors Canada ULC,Deere & Co,1364,5.00E-04,816476.76
"Dimensional Fund Advisors, L.P.",Deere & Co,1945820,0.7208,1164748394
"Dimensional Fund Advisors, Ltd.",Deere & Co,109982,0.0407,65834125.38
Discipline Wealth Solutions LLC,Deere & Co,1316,5.00E-04,787744.44
"Diversified Enterprises, LLC",Deere & Co,1313,5.00E-04,785948.67
Diversified Management Inc,Deere & Co,1423,5.00E-04,851793.57
"Diversified Portfolios, Inc.",Deere & Co,833,3.00E-04,498625.47
Diversified Trust Company,Deere & Co,2812,0.001,1683235.08
"Diversified, LLC",Deere & Co,1026,4.00E-04,614153.34
"Diversify Wealth Management, LLC",Deere & Co,2825,0.001,1691016.75
Dodge & Cox,Deere & Co,12626,0.0047,7557797.34
"Dogwood Wealth Management, LLC",Deere & Co,131,0,78415.29
"Dohj, LLC",Deere & Co,4764,0.0018,2851682.76
"Doliver Advisors, L.P.",Deere & Co,1484,5.00E-04,888307.56
"Donaldson Capital Management, LLC",Deere & Co,648,2.00E-04,387886.32
Donoghue Forlines LLC,Deere & Co,1360,5.00E-04,814082.4
Dorato Capital Management,Deere & Co,625,2.00E-04,374118.75
DoubleLine Capital LP,Deere & Co,128,0,76619.52
Douglas C. Lane & Associates,Deere & Co,552,2.00E-04,330421.68
"Douglass Winthrop Advisors, LLC",Deere & Co,321034,0.1189,192167742.1
"Drexel Morgan Capital Advisers, Inc.",Deere & Co,28065,0.0104,16799428.35
Drive Wealth Advisers,Deere & Co,2820,0.001,1688023.8
Dubly Transatlantique Gestion,Deere & Co,73288,0.0271,43869463.92
Dunas Capital Asset Management SGIIC SA,Deere & Co,3209,0.0012,1920875.31
"Duncan Williams Asset Management, LLC",Deere & Co,1684,6.00E-04,1008025.56
"Duncker, Streett & Co., L.L.C.",Deere & Co,2327,9.00E-04,1392918.93
"Dunhill Financial, LLC",Deere & Co,381,1.00E-04,228062.79
Dynamic Financial Group,Deere & Co,8916,0.0033,5337028.44
Dynamic Wealth Advisors,Deere & Co,11492,0.0043,6878996.28
Döbelin Maurer Lasagni Stüdeli AG,Deere & Co,500,2.00E-04,299295
"E Fund Management (HK) Co., Ltd.",Deere & Co,28,0,16760.52
E Fund Management Co. Ltd.,Deere & Co,923,3.00E-04,552498.57
"E&G Advisors, LP",Deere & Co,2303,9.00E-04,1378552.77
EB - Sustainable Investment Management GmbH,Deere & Co,1230,5.00E-04,736265.7
EFG Asset Management (North America) Corp,Deere & Co,1078,4.00E-04,645280.02
EFG Bank (Luxembourg) S.A.,Deere & Co,203,1.00E-04,121513.77
EFG Private Bank Ltd,Deere & Co,242,1.00E-04,144858.78
EJMK Ventures LLC,Deere & Co,628,2.00E-04,375914.52
"ELCO Management Company, LLC",Deere & Co,460,2.00E-04,275351.4
EOS Investimentos Ltda.,Deere & Co,500,2.00E-04,299295
"EP Wealth Advisors, LLC",Deere & Co,8219,0.003,4919811.21
EPG Wealth Management LLC,Deere & Co,5364,0.002,3210836.76
ETF Architect,Deere & Co,27801,0.0103,16641400.59
"EWA, LLC",Deere & Co,376,1.00E-04,225069.84
Eads & Heald Wealth Management,Deere & Co,1491,6.00E-04,892497.69
"Eagle Asset Management, Inc.",Deere & Co,129505,0.048,77520397.95
Eagle Ridge Investment Management LLC,Deere & Co,2300,9.00E-04,1376757
Eagle Strategies LLC,Deere & Co,1025,4.00E-04,613554.75
"Eagle Wealth Strategies, LLC",Deere & Co,433,2.00E-04,259189.47
"EagleClaw Capital Management, LLC",Deere & Co,2370,9.00E-04,1418658.3
"East Coast Asset Management, LLC.",Deere & Co,10152,0.0038,6076885.68
"Eastern Investment Advisors, Inc.",Deere & Co,4768,0.0018,2854077.12
Eastspring Investments (Singapore) Limited,Deere & Co,27396,0.0101,16398971.64
Eaton Vance Management,Deere & Co,43956,0.0163,26311622.04
Econopolis Wealth Management NV,Deere & Co,1026,4.00E-04,614153.34
"Edelman Financial Engines, LLC",Deere & Co,1346,5.00E-04,805702.14
"Edge Capital Group, LLC",Deere & Co,832,3.00E-04,498026.88
"Edge Financial Advisors, LLC",Deere & Co,917,3.00E-04,548907.03
"Edgemoor Investment Advisors, Inc",Deere & Co,26369,0.0098,15784219.71
"Edgestream Partners, L.P.",Deere & Co,1029,4.00E-04,615949.11
Edmond De Rothschild Asset Management (Luxembourg),Deere & Co,378,1.00E-04,226267.02
Edmond de Rothschild (Suisse) S.A.,Deere & Co,92,0,55070.28
Edmond de Rothschild Asset Management (France) S.A.,Deere & Co,9434,0.0035,5647098.06
Edward Jones,Deere & Co,412582,0.1528,246967459.4
Edward Jones Trust Company,Deere & Co,40670,0.0151,24344655.3
Ehrlich Financial Group,Deere & Co,624,2.00E-04,373520.16
Eisler Capital (UK) Ltd,Deere & Co,859,3.00E-04,514188.81
Eisler Capital (US) LLC,Deere & Co,431,2.00E-04,257992.29
"Eldred Rock Partners, LLC",Deere & Co,28720,0.0106,17191504.8
"Elevate Capital Advisors, LLC",Deere & Co,2037,8.00E-04,1219327.83
"Elevated Capital Advisors, LLC",Deere & Co,2,0,1197.18
Elevatus Welath Management,Deere & Co,938,3.00E-04,561477.42
"Elgethun Capital Management, Inc.",Deere & Co,759,3.00E-04,454329.81
"Eliot Finkel Investment Counsel, LLC",Deere & Co,21515,0.008,12878663.85
"Ellenbecker Investment Group, Inc",Deere & Co,493,2.00E-04,295104.87
"Ellevest, Inc.",Deere & Co,1108,4.00E-04,663237.72
Elm Partners Management LLC,Deere & Co,616,2.00E-04,368731.44
Elo Mutual Pension Insurance Company,Deere & Co,23724,0.0088,14200949.16
"Elwood & Goetz Wealth Advisory Group, LLC",Deere & Co,1054,4.00E-04,630913.86
"Elyxium Wealth, LLC",Deere & Co,2418,9.00E-04,1447390.62
Embree Financial Group,Deere & Co,6670,0.0025,3992595.3
Emissary Wealth LLC,Deere & Co,813,3.00E-04,486653.67
Empirical Wealth Management,Deere & Co,7205,0.0027,4312840.95
"Empower Advisory Group, LLC",Deere & Co,28316,0.0105,16949674.44
Empureon Capital Management GmbH,Deere & Co,1141,4.00E-04,682991.19
"Enclave Advisors, LLC",Deere & Co,577,2.00E-04,345386.43
"Engineers Gate Manager, L.P.",Deere & Co,2156,8.00E-04,1290560.04
"Ensign Peak Advisors, Inc.",Deere & Co,147000,0.0545,87992730
Enterprise Financial Services Corp.,Deere & Co,2091,8.00E-04,1251651.69
Entropics Asset Management AB,Deere & Co,127,0,76020.93
Entrust Financial LLC,Deere & Co,126,0,75422.34
"Envestnet Asset Management, Inc.",Deere & Co,533584,0.1977,319398046.6
"Envestnet Portfolio Solutions, Inc.",Deere & Co,2410,9.00E-04,1442601.9
Epsilon SGR SpA,Deere & Co,3173,0.0012,1899326.07
"Equitable Holdings, Inc.",Deere & Co,12769,0.0047,7643395.71
Equitable Trust Company,Deere & Co,788,3.00E-04,471688.92
Equity Armor Investments LLC,Deere & Co,2054,8.00E-04,1229503.86
Erste Asset Management GmbH,Deere & Co,24563,0.0091,14703166.17
Erwin (Tami A),Deere & Co,4167,0.0015,2494324.53
Essential Partners LLC,Deere & Co,10,0,5985.9
"Essex Financial Services, Inc.",Deere & Co,7738,0.0029,4631889.42
Essex LLC,Deere & Co,9566,0.0035,5726111.94
Essex Savings Bank,Deere & Co,5311,0.002,3179111.49
"Estabrook Capital Management, L.L.C. (Grove Creek)",Deere & Co,1690,6.00E-04,1011617.1
Ethic Inc.,Deere & Co,31208,0.0116,18680796.72
"Ethos Financial Group, LLC",Deere & Co,499,2.00E-04,298696.41
"Eubel Brady & Suttman Asset Management, Inc.",Deere & Co,965,4.00E-04,577639.35
"Eukles Asset Management, LLC",Deere & Co,2450,9.00E-04,1466545.5
Euregio Plus SGR S.p.A,Deere & Co,1000,4.00E-04,598590
Eurizon Capital SGR S.p.A.,Deere & Co,113162,0.0419,67737641.58
Eurizon SLJ Capital Limited,Deere & Co,575,2.00E-04,344189.25
Evansbrook LLC,Deere & Co,1402,5.00E-04,839223.18
"Evanson Asset Management, LLC",Deere & Co,482,2.00E-04,288520.38
"Evelyn Partners Asset Management, Ltd.",Deere & Co,22,0,13168.98
Evelyn Partners Investment Management LLP,Deere & Co,18992,0.007,11368421.28
Evelyn Partners Investment Management Services Limited,Deere & Co,1451,5.00E-04,868554.09
"Eventide Asset Management, LLC",Deere & Co,218,1.00E-04,130492.62
"EverSource Wealth Advisors, LLC",Deere & Co,8882,0.0033,5316676.38
"Evercore Wealth Management, LLC",Deere & Co,1826,7.00E-04,1093025.34
"Everence Capital Management, Inc.",Deere & Co,12223,0.0045,7316565.57
Everett Harris & Co.,Deere & Co,1958,7.00E-04,1172039.22
"Evergreen Capital Management, LLC",Deere & Co,3286,0.0012,1966966.74
Evergreen GmbH,Deere & Co,400,1.00E-04,239436
"Evergreen Wealth Solutions, LLC",Deere & Co,1112,4.00E-04,665632.08
"Everhart Financial Group, Inc.",Deere & Co,2396,9.00E-04,1434221.64
"Evermay Wealth Management, LLC",Deere & Co,318,1.00E-04,190351.62
"Everpar Advisors, LLC",Deere & Co,1003,4.00E-04,600385.77
Evoke Advisors,Deere & Co,1529,6.00E-04,915244.11
Evolution Wealth Management Inc.,Deere & Co,70,0,41901.3
Evolve Funds Group Inc,Deere & Co,741,3.00E-04,443555.19
"Evolve Private Wealth, LLC",Deere & Co,1741,6.00E-04,1042145.19
Excalibur Management Corporation,Deere & Co,2056,8.00E-04,1230701.04
Excelsior Advisor Network LLC,Deere & Co,1386,5.00E-04,829645.74
"Exchange Traded Concepts, LLC",Deere & Co,37051,0.0137,22178358.09
Exencial Wealth Advisors,Deere & Co,4187,0.0016,2506296.33
F. L. Putnam Investment Management Co.,Deere & Co,761,3.00E-04,455526.99
F/M Investments LLC,Deere & Co,600,2.00E-04,359154
FA Solutions Ltd,Deere & Co,4349,0.0016,2603267.91
FAROS Fiduciary Management AG,Deere & Co,120,0,71830.8
"FAS Wealth Partners, Inc",Deere & Co,1801,7.00E-04,1078060.59
FBB Capital Partners,Deere & Co,1218,5.00E-04,729082.62
FERI AG,Deere & Co,5619,0.0021,3363477.21
FGTC Investment GmbH,Deere & Co,3127,0.0012,1871790.93
FIL Gestion,Deere & Co,13,0,7781.67
FIL Investment Management (Hong Kong) Limited,Deere & Co,11680,0.0043,6991531.2
FIL Investments (Japan) Limited,Deere & Co,9396,0.0035,5624351.64
"FLP Wealth Management, LLC",Deere & Co,361,1.00E-04,216090.99
FMP Wealth Advisers,Deere & Co,301,1.00E-04,180175.59
FMR Investment Management (U.K.) Limited,Deere & Co,5700,0.0021,3411963
FNB Wealth Management,Deere & Co,2110,8.00E-04,1263024.9
FNY Investment Advisers LLC,Deere & Co,7600,0.0028,4549284
FRG Family Wealth Advisors LLC,Deere & Co,15830,0.0059,9475679.7
FRS Financial Services GmbH,Deere & Co,2000,7.00E-04,1197180
FSA Wealth Management LLC,Deere & Co,303,1.00E-04,181372.77
FSB Premier Wealth Management Inc,Deere & Co,10654,0.0039,6377377.86
Facet Wealth Inc,Deere & Co,568,2.00E-04,339999.12
Factory Mutual Insurance Company,Deere & Co,58900,0.0218,35256951
"Fagan Associates, Inc.",Deere & Co,2801,0.001,1676650.59
"Fairfield Financial Advisors, Ltd.",Deere & Co,6141,0.0023,3675941.19
"Fairfield, Bush & Co.",Deere & Co,1120,4.00E-04,670420.8
"Fairhaven Wealth Management, LLC",Deere & Co,782,3.00E-04,468097.38
"Fairscale Capital, LLC",Deere & Co,130,0,77816.7
Fairvoy Private Wealth LLC,Deere & Co,381,1.00E-04,228062.79
Fairway Wealth LLC,Deere & Co,1000,4.00E-04,598590
"Falcon Wealth Planning, Inc.",Deere & Co,453,2.00E-04,271161.27
"Family Capital Management, Inc",Deere & Co,436,2.00E-04,260985.24
"Family Investment Center, Inc",Deere & Co,361,1.00E-04,216090.99
"Family Legacy, Inc.",Deere & Co,7754,0.0029,4641466.86
Family Office Research LLC,Deere & Co,477,2.00E-04,285527.43
Farmers & Merchants Trust Co of Chambersburg PA,Deere & Co,233,1.00E-04,139471.47
Farmers National Bank,Deere & Co,1826,7.00E-04,1093025.34
Farmers Trust Company,Deere & Co,1032,4.00E-04,617744.88
Farringdon Capital Ltd,Deere & Co,571,2.00E-04,341794.89
"Farther Finance Advisors, LLC",Deere & Co,12722,0.0047,7615261.98
Fayez Sarofim & Co.,Deere & Co,453998,0.1682,271758662.8
FedGroup Asset Management (Pty) Ltd,Deere & Co,47,0,28133.73
Federated Hermes Equity Management Company of Pennsylvania,Deere & Co,1200,4.00E-04,718308
Feight (Robert Preston),Deere & Co,823,3.00E-04,492639.57
"Feltz WealthPLAN, Inc.",Deere & Co,2027,8.00E-04,1213341.93
"Ferguson Wellman Capital Management, Inc.",Deere & Co,6949,0.0026,4159601.91
Fi3 Financial Advisors LLC,Deere & Co,447,2.00E-04,267569.73
Fideas CAPITAL,Deere & Co,120,0,71830.8
Fidelis Capital,Deere & Co,3961,0.0015,2371014.99
Fidelity,Deere & Co,6550488,2.4265,3921056612
Fideuram - Intesa Sanpaolo Private Banking S.p.a.,Deere & Co,16478,0.0061,9863566.02
Fideuram Asset Management (Ireland) dac,Deere & Co,12555,0.0047,7515297.45
"Fiduciary Advisors, Inc.",Deere & Co,46,0,27535.14
Fiduciary Alliance LLC,Deere & Co,2003,7.00E-04,1198975.77
"Fiduciary Financial Group, LLC",Deere & Co,398,1.00E-04,238238.82
Fiduciary Trust Company,Deere & Co,10349,0.0038,6194807.91
Fiduciary Trust International Ltd.,Deere & Co,4070,0.0015,2436261.3
Fiduciary Trust International of California,Deere & Co,492,2.00E-04,294506.28
Fiduciary Trust International of the South,Deere & Co,865,3.00E-04,517780.35
"Fiduciary Trust International, LLC",Deere & Co,6934,0.0026,4150623.06
"Fields Gottscho Capital Management, LLC",Deere & Co,2350,9.00E-04,1406686.5
Fiera Capital Corporation,Deere & Co,600,2.00E-04,359154
Fifth Third Wealth Advisors LLC,Deere & Co,10734,0.004,6425265.06
Figure 8 Investment Strategies LLC,Deere & Co,3714,0.0014,2223163.26
"FinTrust Capital Advisors, LLC",Deere & Co,831,3.00E-04,497428.29
"Finaccess México, S.A. de C.V.",Deere & Co,128,0,76619.52
"Financial Advisors Network, Inc.",Deere & Co,367,1.00E-04,219682.53
"Financial Consulate, Inc.",Deere & Co,260,1.00E-04,155633.4
"Financial Gravity Asset Management, Inc.",Deere & Co,4,0,2394.36
"Financial Insights, Inc.",Deere & Co,432,2.00E-04,258590.88
"Financial Management Network, Inc",Deere & Co,436,2.00E-04,260985.24
Financial Network Wealth Advisors LLC,Deere & Co,51,0,30528.09
Financial Network Wealth Management LLC,Deere & Co,460,2.00E-04,275351.4
"Financial Perspectives, Inc",Deere & Co,790,3.00E-04,472886.1
"Financial Planning Hawaii, Inc.",Deere & Co,1263,5.00E-04,756019.17
"Financial Security Advisory, Inc.",Deere & Co,1451,5.00E-04,868554.09
FineMark National Bank & Trust,Deere & Co,2761,0.001,1652706.99
Fineco Asset Management DAC,Deere & Co,18347,0.0068,10982330.73
"Finer Wealth Management, Inc.",Deere & Co,1217,5.00E-04,728484.03
Finivi Inc.,Deere & Co,1940,7.00E-04,1161264.6
Finreon AG,Deere & Co,3100,0.0011,1855629
Finward Bancorp,Deere & Co,364,1.00E-04,217886.76
"Fire Capital Management, LLC",Deere & Co,6087,0.0023,3643617.33
"Firethorn Wealth Partners, LLC",Deere & Co,844,3.00E-04,505209.96
Firetrail Investments Pty Limited,Deere & Co,23702,0.0088,14187780.18
"First Affirmative Financial Network, LLC",Deere & Co,1099,4.00E-04,657850.41
First American Bank,Deere & Co,7045,0.0026,4217066.55
"First American Trust, FSB",Deere & Co,1353,5.00E-04,809892.27
"First Bancorp, Inc",Deere & Co,454,2.00E-04,271759.86
First Bank & Trust,Deere & Co,1637,6.00E-04,979891.83
First Citizens Bank & Trust Company,Deere & Co,3301,0.0012,1975945.59
First Citizens Financial Corp,Deere & Co,1055,4.00E-04,631512.45
"First Command Advisory Services, Inc.",Deere & Co,672,2.00E-04,402252.48
First Commonwealth Financial Corp.,Deere & Co,400,1.00E-04,239436
First Community Trust NA,Deere & Co,14069,0.0052,8421562.71
First County Bank,Deere & Co,467,2.00E-04,279541.53
"First Eagle Investment Management, L.L.C.",Deere & Co,533025,0.1975,319063434.8
"First Financial Bank, N.A.",Deere & Co,5165,0.0019,3091717.35
First Financial Bankshares Inc,Deere & Co,1116,4.00E-04,668026.44
First Financial Corp,Deere & Co,54,0,32323.86
First Foundation Advisors,Deere & Co,1193,4.00E-04,714117.87
First Growth Capital LLC,Deere & Co,593,2.00E-04,354963.87
"First Heartland Consultants, Inc.",Deere & Co,1441,5.00E-04,862568.19
"First Horizon Advisors, Inc.",Deere & Co,1895,7.00E-04,1134328.05
First International Bank & Trust,Deere & Co,2086,8.00E-04,1248658.74
First Interstate Bank,Deere & Co,2135,8.00E-04,1277989.65
First Manhattan Co. LLC,Deere & Co,8508,0.0032,5092803.72
First Merchants Trust Company,Deere & Co,3732,0.0014,2233937.88
First National Bank & Trust Co. of Newtown,Deere & Co,1462,5.00E-04,875138.58
First National Bank of Mount Dora,Deere & Co,15410,0.0057,9224271.9
First National Bank of Omaha,Deere & Co,2705,0.001,1619185.95
First Nebraska Trust Company,Deere & Co,602,2.00E-04,360351.18
"First Pacific Financial, Inc.",Deere & Co,1757,7.00E-04,1051722.63
First Premier Bank,Deere & Co,340,1.00E-04,203520.6
"First Securities Investment Trust Co., Ltd.",Deere & Co,2750,0.001,1646122.5
First Trust Advisors L.P.,Deere & Co,43621,0.0162,26111094.39
First Trust Investment Solutions LP,Deere & Co,845,3.00E-04,505808.55
First United Bank & Trust,Deere & Co,689,3.00E-04,412428.51
First Western Trust Bank,Deere & Co,708,3.00E-04,423801.72
"Fiscal Wisdom Wealth Management, LLC",Deere & Co,510,2.00E-04,305280.9
Fisher Funds Management Limited,Deere & Co,27369,0.0101,16382809.71
Fisher Investments,Deere & Co,3028164,1.1218,1812628689
Five Oceans Advisors LLC,Deere & Co,575,2.00E-04,344189.25
Fjell Capital LLC,Deere & Co,2908,0.0011,1740699.72
Fjärde AP-Fonden,Deere & Co,61436,0.0228,36774975.24
Flagship Harbor Advisors LLC,Deere & Co,1061,4.00E-04,635103.99
Flagstone FInancial Management,Deere & Co,1032,4.00E-04,617744.88
"Florida Financial Advisors, LLC",Deere & Co,361,1.00E-04,216090.99
Florida State Board of Administration,Deere & Co,215359,0.0798,128911743.8
Flossbach von Storch AG,Deere & Co,980,4.00E-04,586618.2
"Floyd Financial Group, LLC.",Deere & Co,2333,9.00E-04,1396510.47
"Focus Financial Network, Inc.",Deere & Co,2270,8.00E-04,1358799.3
"Focus Partners Advisor Solutions, LLC",Deere & Co,10088,0.0037,6038575.92
"Focus Partners Wealth, LLC",Deere & Co,93220,0.0345,55800559.8
"Focused Alpha, LLC.",Deere & Co,1098,4.00E-04,657251.82
"Fogel Capital Management, Inc.",Deere & Co,6835,0.0025,4091362.65
"Folger Nolan Fleming Douglas Capital Management, Inc. (CMI)",Deere & Co,1038,4.00E-04,621336.42
Fora Capital LLC,Deere & Co,14808,0.0055,8863920.72
"Forefront Analytics, LLC",Deere & Co,1136,4.00E-04,679998.24
"Forefront Wealth Partners, LLC.",Deere & Co,585,2.00E-04,350175.15
Foresight Group LLP,Deere & Co,1981,7.00E-04,1185806.79
"Formidable Asset Management, LLC",Deere & Co,3718,0.0014,2225557.62
"Fort Pitt Capital Group, Inc.",Deere & Co,181636,0.0673,108725493.2
"Fort Point Capital Partners, LLC",Deere & Co,936,3.00E-04,560280.24
Fort Sheridan Advisors LLC,Deere & Co,9311,0.0034,5573471.49
"Fort Washington Investment Advisors, Inc.",Deere & Co,290035,0.1074,173612050.7
"Fortis Capital Advisors, LLC",Deere & Co,3743,0.0014,2240522.37
"Fortis Group Advisors, L.L.C.",Deere & Co,776,3.00E-04,464505.84
Fortitude Advisory Group L.L.C.,Deere & Co,793,3.00E-04,474681.87
"Fortitude Family Office, LLC",Deere & Co,221,1.00E-04,132288.39
"Fortress Private Ledger, LLC.",Deere & Co,396,1.00E-04,237041.64
"Forum Financial Management, LP",Deere & Co,12111,0.0045,7249523.49
"Foster & Motley, Inc.",Deere & Co,1578,6.00E-04,944575.02
